"İllere ve konularına göre halk kütüphanelerindeki kitap sayısı, 2022",,,,,,,,,,,
"The number of books in public libraries by province and subject, 2022",,,,,,,,,,,
,Toplam                                                          Total                                                    ,Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"

İl,,,,,,,,,,,
Province,,,,,,,,,,,
Türkiye, 23 091 168,  921 142,  772 137, 1 420 944, 4 403 887,  400 450,  486 795,  785 370,  968 151, 10 706 724, 2 225 568

İstanbul, 2 435 359,  106 555,  90 947,  161 808,  471 879,  79 474,  120 685,  184 327,  195 854,  826 126,  197 704
Tekirdağ,  226 849,  8 481,  7 602,  14 991,  42 128,  2 439,  3 498,  6 618,  7 439,  111 203,  22 450
Edirne,  284 147,  15 481,  8 942,  16 794,  47 874,  5 121,  5 545,  9 524,  10 767,  132 544,  31 555
Kırklareli,  186 143,  6 332,  6 866,  10 566,  30 969,  2 681,  3 364,  5 323,  6 999,  93 608,  19 435
Balıkesir,  445 874,  22 526,  12 733,  23 190,  106 842,  6 958,  7 234,  14 716,  15 860,  191 502,  44 313
Çanakkale,  237 564,  7 608,  8 509,  15 491,  45 863,  4 037,  4 043,  6 468,  9 420,  111 840,  24 285
İzmir,  568 345,  10 510,  19 435,  34 370,  113 262,  7 687,  10 951,  16 148,  19 870,  292 904,  43 208
Aydın,  392 441,  16 213,  12 077,  23 890,  79 667,  5 955,  5 741,  10 707,  13 782,  182 721,  41 688
Denizli,  395 955,  17 397,  11 379,  18 951,  79 054,  5 867,  6 687,  10 617,  15 742,  188 361,  41 900
Muğla,  271 173,  11 030,  8 918,  14 010,  48 665,  3 883,  4 416,  6 987,  9 617,  134 898,  28 749
Manisa,  415 841,  12 138,  12 431,  24 975,  79 122,  6 413,  5 612,  9 628,  13 218,  214 841,  37 463
Afyonkarahisar,  324 790,  20 705,  9 336,  18 248,  61 442,  5 152,  5 819,  9 850,  13 032,  142 851,  38 355
